name,days,start date,isCurrent
James Wilson,3242,10/5/1789,
John Jay (CJ),2079,10/19/1789,
William Cushing,7527,2/2/1790,
John Blair,2091,2/2/1790,
John Rutledge (CJ),521,2/15/1790,
James Iredell,3448,5/12/1790,
Thomas Johnson,485,9/19/1791,
William Paterson,4929,3/11/1793,
Samuel Chase,5613,2/4/1796,
Oliver Ellsworth (CJ),1742,3/8/1796,
Bushrod Washington,11339,11/9/1798,
Alfred Moore,1375,4/21/1800,
John Marshall (CJ),12570,2/4/1801,
William Johnson,11046,5/7/1804,
Henry Brockholst Livingston,5901,1/20/1807,
Thomas Todd,6854,5/4/1807,
Gabriel Duvall,8453,11/23/1811,
Joseph Story,12273,2/3/1812,
Smith Thompson,7413,9/1/1823,
Robert Trimble,801,6/16/1826,
John McLean,11711,3/12/1829,
Henry Baldwin,5207,1/18/1830,
James M. Wayne,11860,1/14/1835,
Roger B. Taney (CJ),10425,3/28/1836,
Philip P. Barbour,1750,5/12/1836,
John Catron,10256,5/1/1837,
John McKinley,5305,1/9/1838,
Peter V. Daniel,6716,1/10/1842,
Samuel Nelson,10136,2/27/1845,
Levi Woodbury,2172,9/23/1845,
Robert Cooper Grier,8575,8/10/1846,
Benjamin Robbins Curtis,2182,10/10/1851,
John Archibald Campbell,2941,4/11/1853,
Nathan Clifford,8586,1/21/1858,
Noah Haynes Swayne,6937,1/27/1862,
Samuel Freeman Miller,10311,7/21/1862,
David Davis,5198,12/10/1862,
Stephen Johnson Field,12614,5/20/1863,
Salmon P. Chase (CJ),3065,12/15/1864,
William Strong,3928,3/14/1870,
Joseph P. Bradley,7975,3/23/1870,
Ward Hunt,3305,1/9/1873,
Morrison Waite (CJ),5133,3/4/1874,
John Marshall Harlan,12360,12/10/1877,
William Burnham Woods,2320,1/5/1881,
Stanley Matthews,2866,5/17/1881,
Horace Gray,7553,1/9/1882,
Samuel Blatchford,4113,4/3/1882,
Lucius Quintus Cincinnatus Lamar,1832,1/18/1888,
Melville Fuller (CJ),7938,10/8/1888,
David J. Brewer,7385,1/6/1890,
Henry Billings Brown,5621,1/5/1891,
George Shiras Jr.,3787,10/10/1892,
Howell E. Jackson,887,3/4/1893,
Edward Douglass White (CJ),9929,3/12/1894,
Rufus W. Peckham,5039,1/6/1896,
Joseph McKenna,9840,1/26/1898,
Oliver Wendell Holmes,10627,12/8/1902,
William R. Day,7196,3/2/1903,
William Henry Moody,1434,12/17/1906,
Horace Harmon Lurton,1651,1/3/1910,
Charles Evans Hughes (CJ),6214,10/10/1910,
Willis Van Devanter,9647,1/3/1911,
Joseph Rucker Lamar,1825,1/3/1911,
Mahlon Pitney,3940,3/18/1912,
James Clark McReynolds,9608,10/12/1914,
Louis Brandeis,8288,6/5/1916,
John Hessin Clarke,2170,10/9/1916,
William Howard Taft (CJ),3129,7/11/1921,
George Sutherland,5586,10/2/1922,
Pierce Butler,6162,1/2/1923,
Edward Terry Sanford,2574,2/19/1923,
Harlan F. Stone (CJ),7721,3/2/1925,
Owen Roberts,5538,6/2/1930,
Benjamin N. Cardozo,2308,3/14/1932,
Hugo Black,12447,8/19/1937,
Stanley Forman Reed,6965,1/31/1938,
Felix Frankfurter,8611,1/30/1939,
William O. Douglas,13358,4/17/1939,
Frank Murphy,3452,2/5/1940,
James F. Byrnes,452,7/8/1941,
Robert H. Jackson,4838,7/11/1941,
Wiley Rutledge,2399,2/15/1943,
Harold H. Burton,4760,10/1/1945,
Fred M. Vinson (CJ),2633,6/24/1946,
Tom C. Clark,6501,8/24/1949,
Sherman Minton,2560,10/12/1949,
Earl Warren (CJ),5740,10/5/1953,
John Marshall Harlan II,6023,3/28/1955,
William J. Brennan Jr.,12330,10/16/1956,
Charles Evans Whittaker,1832,3/25/1957,
Potter Stewart,8298,10/14/1958,
Byron White,11396,4/16/1962,
Arthur Goldberg,1028,10/1/1962,
Abe Fortas,1318,10/4/1965,
Thurgood Marshall,8765,10/2/1967,
Warren E. Burger (CJ),6304,6/23/1969,
Harry Blackmun,8821,6/9/1970,
William Rehnquist (CJ),12293,1/7/1972,
Lewis Franklin Powell,5649,1/7/1972,
John Paul Stevens,12611,12/19/1975,
Sandra Day O'Connor,8894,9/25/1981,
Antonin Scalia,10732,9/26/1986,
Anthony Kennedy,11121,2/18/1988,
David Souter,6838,10/9/1990,
Clarence Thomas,12550,10/23/1991,yes
Ruth Bader Ginsburg,9901,8/10/1993,
Stephen Breyer,10193,8/3/1994,
John Roberts (CJ),7460,9/29/2005,yes
Samuel Alito,7336,1/31/2006,yes
Sonia Sotomayor,6051,8/8/2009,yes
Elena Kagan,5687,8/7/2010,yes
Neil Gorsuch,3249,4/10/2017,yes
Brett Kavanaugh,2705,10/6/2018,yes
Amy Coney Barrett,1953,10/27/2020,yes
Ketanji Brown Jackson,1342,6/30/2022,yes
